"newdat$dat.siteLabel","as.numeric(newdat$dat.daubPlots__VegCompositionBlock__coverClass)"
"1_1",3.25928863002648
"1_2",3.60987303827156
"1_3 med pow peak",3.14300109903359
"2_1",3.1610137380363
"2_2 aspen grove",3.66793303332672
"3_1",3.50380610441079
"3_2",2.92412604655493
"3_3 big sandy",3.67538766942329
"4_1 beartooth",3.40731489672993
"4_2 pilot peak",3.76212583070529
"4_3 clarks fork",3.67075749191832
"5_1 osborne peak",3.40093534345624
"5_2 green lake",3.73805865861924
"5_3",3.86804309025612
"6_1 mid elev bighorn v1",2.76658702338621
"6_2 ten sleep canyon low elev",3.2888570197568
"6_3",3.06458296671383
"7_1 seneca",3.23671755605408
"7_2 fremont lake",2.65932870920836
"Table mointain 2_3",3.10805474057966
