"","vegdv","treatments"
"X1_1_1_1_EN",8.12354931863423,"1_1_1EN_9"
"X1_1_1_2_EN",3.89304775264474,"1_1_1EN_9"
"X1_1_1_3_EN",8.13242438951497,"1_1_1EN_9"
"X1_1_1_4_EN",2.57981335677632,"1_1_1EN_9"
"X1_1_1_5_EN",7.73649420323448,"1_1_1EN_9"
"X1_1_1_6_EN",3.13737778189036,"1_1_1EN_9"
"X1_1_2_1_EN",6.13679561578929,"1_1_2EN_10"
"X1_1_2_2_EN",2.48700942849066,"1_1_2EN_10"
"X1_1_2_3_EN",8.35155253986754,"1_1_2EN_10"
"X1_1_2_4_EN",6.06270873327825,"1_1_2EN_10"
"X1_1_2_5_EN",4.29545498537709,"1_1_2EN_10"
"X1_1_2_6_EN",7.37001818705619,"1_1_2EN_10"
"X1_1_2_7_EN",7.76014733595419,"1_1_2EN_10"
"X1_1_2_8_EN",2.03779244909664,"1_1_2EN_10"
"X1_1_2_9_EN",6.34065020119618,"1_1_2EN_10"
"X1_1_3_1_EN",2.90509320084275,"1_1_3EN_11"
"X1_1_3_10_EN",0.78654958774613,"1_1_3EN_11"
"X1_1_3_2_EN",7.59870712776385,"1_1_3EN_11"
"X1_1_3_3_EN",3.11927950402645,"1_1_3EN_11"
"X1_1_3_4_EN",2.94663153335204,"1_1_3EN_11"
"X1_1_3_5_EN",2.50080172494096,"1_1_3EN_11"
"X1_1_3_6_EN",3.92341267647748,"1_1_3EN_11"
"X1_1_3_7_EN",3.5978199937831,"1_1_3EN_11"
"X1_1_3_8_EN",4.50152695302505,"1_1_3EN_11"
"X1_1_3_9_EN",1.81686119245319,"1_1_3EN_11"
"X1_1_4_1_EN",4.85627776317488,"1_1_4EN_12"
"X1_1_4_10_EN",5.84969643712013,"1_1_4EN_12"
"X1_1_4_2_EN",7.82087867471402,"1_1_4EN_12"
"X1_1_4_3_EN",2.4986422896007,"1_1_4EN_12"
"X1_1_4_4_EN",6.1260482311998,"1_1_4EN_12"
"X1_1_4_5_EN",7.82502409926829,"1_1_4EN_12"
"X1_1_4_6_EN",2.63357397360637,"1_1_4EN_12"
"X1_1_4_7_EN",4.9067945363349,"1_1_4EN_12"
"X1_1_4_8_EN",5.51777305209658,"1_1_4EN_12"
"X1_1_4_9_EN",7.34433509435171,"1_1_4EN_12"
"X1_1_5_1_EN",4.68070168170673,"1_1_5EN_13"
"X1_1_5_10_EN",7.77901349612979,"1_1_5EN_13"
"X1_1_5_2_EN",6.89420535335936,"1_1_5EN_13"
"X1_1_5_3_EN",8.25076017818512,"1_1_5EN_13"
"X1_1_5_4_EN",7.84470645612039,"1_1_5EN_13"
"X1_1_5_5_EN",6.30168736362967,"1_1_5EN_13"
"X1_1_5_6_EN",8.14704061093834,"1_1_5EN_13"
"X1_1_5_7_EN",8.16653184306283,"1_1_5EN_13"
"X1_1_5_8_EN",4.78395435874704,"1_1_5EN_13"
"X1_1_5_9_EN",8.09386154512046,"1_1_5EN_13"
"X1_1_6_10_EN",4.72831796440669,"1_1_6EN_14"
"X1_1_6_2_EN",2.30088224291785,"1_1_6EN_14"
"X1_1_6_3_EN",3.66242103484998,"1_1_6EN_14"
"X1_1_6_4_EN",5.96217322287696,"1_1_6EN_14"
"X1_1_6_5_EN",2.01408065503107,"1_1_6EN_14"
"X1_1_6_6_EN",7.92742004681127,"1_1_6EN_14"
"X1_1_6_7_EN",3.22122661679875,"1_1_6EN_14"
"X1_1_6_8_EN",7.25095576773682,"1_1_6EN_14"
"X1_1_6_9_EN",6.92901804258508,"1_1_6EN_14"
"X1_1_7_1_EN",6.03968896852364,"1_1_7EN_15"
"X1_1_7_10_EN",3.09793040906037,"1_1_7EN_15"
"X1_1_7_2_EN",8.1438362536313,"1_1_7EN_15"
"X1_1_7_3_EN",3.45423377635391,"1_1_7EN_15"
"X1_1_7_4_EN",7.7421986267851,"1_1_7EN_15"
"X1_1_7_6_EN",6.66882365413015,"1_1_7EN_15"
"X1_1_7_8_EN",7.67552749636102,"1_1_7EN_15"
"X1_1_7_9_EN",8.16081551302363,"1_1_7EN_15"
"X1_2_1_1_EN",6.51531037226766,"1_2_1EN_16"
"X1_2_1_10_EN",8.30185017520936,"1_2_1EN_16"
"X1_2_1_2_EN",3.99539578716027,"1_2_1EN_16"
"X1_2_1_3_EN",3.5857062854985,"1_2_1EN_16"
"X1_2_1_4_EN",1.14165148796158,"1_2_1EN_16"
"X1_2_1_5_EN",7.0962299549436,"1_2_1EN_16"
"X1_2_1_6_EN",5.4269682846218,"1_2_1EN_16"
"X1_2_1_7_EN",4.65551126751883,"1_2_1EN_16"
"X1_2_1_8_EN",6.65694191063279,"1_2_1EN_16"
"X1_2_1_9_EN",7.9752958228243,"1_2_1EN_16"
"X1_2_2_1_EN",6.15053767584685,"1_2_2EN_17"
"X1_2_2_10_EN",5.34681436524475,"1_2_2EN_17"
"X1_2_2_2_EN",3.29999935595948,"1_2_2EN_17"
"X1_2_2_3_EN",3.59584573724525,"1_2_2EN_17"
"X1_2_2_4_EN",6.6103611547081,"1_2_2EN_17"
"X1_2_2_6_EN",7.26997295965182,"1_2_2EN_17"
"X1_2_2_7_EN",4.90321104454776,"1_2_2EN_17"
"X1_2_2_8_EN",8.35147332093319,"1_2_2EN_17"
"X1_2_2_9_EN",8.20994875527899,"1_2_2EN_17"
"X1_2_3_1_EN",1.88264740609276,"1_2_3EN_18"
"X1_2_3_10_EN",7.11925235458791,"1_2_3EN_18"
"X1_2_3_2_EN",4.59957221062673,"1_2_3EN_18"
"X1_2_3_3_EN",1.41939782261686,"1_2_3EN_18"
"X1_2_3_4_EN",7.00902469614357,"1_2_3EN_18"
"X1_2_3_5_EN",7.10831680264657,"1_2_3EN_18"
"X1_2_3_6_EN",4.08924264020288,"1_2_3EN_18"
"X1_2_3_7_EN",7.85356916626772,"1_2_3EN_18"
"X1_2_3_8_EN",8.33831333445337,"1_2_3EN_18"
"X1_2_3_9_EN",7.00806557665522,"1_2_3EN_18"
"X1_2_4_1_EN",2.6658358810223,"1_2_4EN_19"
"X1_2_4_10_EN",6.59349723264781,"1_2_4EN_19"
"X1_2_4_2_EN",7.65853936464605,"1_2_4EN_19"
"X1_2_4_3_EN",5.77727366256108,"1_2_4EN_19"
"X1_2_4_4_EN",8.11610166591264,"1_2_4EN_19"
"X1_2_4_5_EN",5.32917671391699,"1_2_4EN_19"
"X1_2_4_6_EN",6.65876301390599,"1_2_4EN_19"
"X1_2_4_7_EN",6.55953325030718,"1_2_4EN_19"
"X1_2_4_8_EN",7.12230486862737,"1_2_4EN_19"
"X1_2_4_9_EN",7.90991685932224,"1_2_4EN_19"
"X1_2_5_1_EN",5.01852493362512,"1_2_5EN_20"
"X1_2_5_4_EN",8.34745806866497,"1_2_5EN_20"
"X1_2_5_5_EN",7.22757365983752,"1_2_5EN_20"
"X1_2_5_6_EN",4.49429248677032,"1_2_5EN_20"
"X1_2_5_7_EN",7.08193002598368,"1_2_5EN_20"
"X1_2_5_8_EN",5.53241032570273,"1_2_5EN_20"
"X1_2_5_9_EN",6.40096281777174,"1_2_5EN_20"
"X1_2_6_1_EN",6.51211300954429,"1_2_6EN_21"
"X1_2_6_10_EN",3.70411262888022,"1_2_6EN_21"
"X1_2_6_2_EN",6.64188899610176,"1_2_6EN_21"
"X1_2_6_3_EN",2.50432015579829,"1_2_6EN_21"
"X1_2_6_4_EN",1.74513604552189,"1_2_6EN_21"
"X1_2_6_5_EN",3.14359282979594,"1_2_6EN_21"
"X1_2_6_6_EN",3.22628556181646,"1_2_6EN_21"
"X1_2_6_7_EN",8.32707249400835,"1_2_6EN_21"
"X1_2_6_8_EN",7.67970138415251,"1_2_6EN_21"
"X1_2_6_9_EN",6.19865792484362,"1_2_6EN_21"
"X1_2_7_1_EN",6.18358048403484,"1_2_7EN_22"
"X1_2_7_10_EN",3.04759782493807,"1_2_7EN_22"
"X1_2_7_2_EN",2.04021134857456,"1_2_7EN_22"
"X1_2_7_3_EN",5.12190541233979,"1_2_7EN_22"
"X1_2_7_4_EN",4.77269215746319,"1_2_7EN_22"
"X1_2_7_5_EN",7.10537153293689,"1_2_7EN_22"
"X1_2_7_6_EN",2.85692009136515,"1_2_7EN_22"
"X1_2_7_7_EN",4.143350247345,"1_2_7EN_22"
"X1_2_7_8_EN",7.45637811825731,"1_2_7EN_22"
"X1_2_7_9_EN",1.59884304167834,"1_2_7EN_22"
"X1_3_1_1_EN",8.15341223162023,"1_3_1EN_23"
"X1_3_1_10_EN",4.60302811888261,"1_3_1EN_23"
"X1_3_1_2_EN",5.87365952058862,"1_3_1EN_23"
"X1_3_1_3_EN",6.68785236566434,"1_3_1EN_23"
"X1_3_1_4_EN",3.94781025658524,"1_3_1EN_23"
"X1_3_1_5_EN",2.49286770923573,"1_3_1EN_23"
"X1_3_1_6_EN",5.49019509475294,"1_3_1EN_23"
"X1_3_1_7_EN",2.37650688113846,"1_3_1EN_23"
"X1_3_1_8_EN",3.26902420645778,"1_3_1EN_23"
"X1_3_1_9_EN",5.03985883389119,"1_3_1EN_23"
"X1_3_2_1_EN",6.77714118348666,"1_3_2EN_24"
"X1_3_2_10_EN",5.81673803060936,"1_3_2EN_24"
"X1_3_2_2_EN",6.11954309241215,"1_3_2EN_24"
"X1_3_2_3_EN",7.64347884424917,"1_3_2EN_24"
"X1_3_2_4_EN",6.52220461177557,"1_3_2EN_24"
"X1_3_2_5_EN",5.7997892225718,"1_3_2EN_24"
"X1_3_2_6_EN",6.43905163986803,"1_3_2EN_24"
"X1_3_2_7_EN",6.23118864227208,"1_3_2EN_24"
"X1_3_2_8_EN",6.05587116357225,"1_3_2EN_24"
"X1_3_2_9_EN",2.32763019677832,"1_3_2EN_24"
"X1_3_3_1_EN",1.88920230290829,"1_3_3EN_25"
"X1_3_3_10_EN",4.56259422880628,"1_3_3EN_25"
"X1_3_3_2_EN",8.32031312102981,"1_3_3EN_25"
"X1_3_3_3_EN",5.52620125030894,"1_3_3EN_25"
"X1_3_3_4_EN",4.62652944277279,"1_3_3EN_25"
"X1_3_3_6_EN",7.58253228294022,"1_3_3EN_25"
"X1_3_3_7_EN",1.79946787667378,"1_3_3EN_25"
"X1_3_3_8_EN",2.97129215418026,"1_3_3EN_25"
"X1_3_3_9_EN",3.38017279435931,"1_3_3EN_25"
"X1_3_4_10_EN",7.65886897715462,"1_3_4EN_26"
"X1_3_4_2_EN",7.7470600779682,"1_3_4EN_26"
"X1_3_4_3_EN",5.86399781720218,"1_3_4EN_26"
"X1_3_4_4_EN",4.22508055062099,"1_3_4EN_26"
"X1_3_4_5_EN",7.8539033535769,"1_3_4EN_26"
"X1_3_4_6_EN",6.4696812194316,"1_3_4EN_26"
"X1_3_4_7_EN",5.77265151994834,"1_3_4EN_26"
"X1_3_4_8_EN",3.04316213801999,"1_3_4EN_26"
"X1_3_4_9_EN",6.46406118816976,"1_3_4EN_26"
"X1_3_5_1_EN",5.77486573579074,"1_3_5EN_27"
"X1_3_5_10_EN",7.36143456901021,"1_3_5EN_27"
"X1_3_5_2_EN",6.98979355859922,"1_3_5EN_27"
"X1_3_5_3_EN",6.56254660280867,"1_3_5EN_27"
"X1_3_5_4_EN",8.30396901238494,"1_3_5EN_27"
"X1_3_5_5_EN",7.37311283451483,"1_3_5EN_27"
"X1_3_5_6_EN",7.65251096391874,"1_3_5EN_27"
"X1_3_5_7_EN",2.89696362172832,"1_3_5EN_27"
"X1_3_5_8_EN",4.199506919767,"1_3_5EN_27"
"X1_3_5_9_EN",7.49024657633788,"1_3_5EN_27"
"X2_1_1_1_EN",5.08440231476013,"2_1_1EN_28"
"X2_1_1_10_EN",8.35538836781146,"2_1_1EN_28"
"X2_1_1_3_EN",2.04313816503728,"2_1_1EN_28"
"X2_1_1_4_EN",7.33421170618885,"2_1_1EN_28"
"X2_1_1_5_EN",7.22900354460432,"2_1_1EN_28"
