startTime,label,indiv,xcoord,ycoord,sidePlantSampled,phenology,circumStem,width,plantMeasurements__width2,plantMeasurements__height,height_sample,endTime
,1_1_1_1,1,14,5,,fruiting,4,1500,1500,520,31,2018-08-26T20:18:47.390Z
,1_1_1_2,2,1,5,,fruiting,3,240,158,775,600,2018-08-26T20:18:47.390Z
,1_1_1_3,3,24,13,,fruiting,4,1000,1000,910,44,2018-08-26T20:18:47.390Z
,1_1_1_4,4,25,25,,fruiting,NA,500,500,750,130,2018-08-26T20:18:47.390Z
,1_1_1_5,5,16,34,,fruiting,,320,270,400,160,2018-08-26T20:18:47.390Z
,1_1_1_6,6,6,38,,fruiting,,650,700,650,110,2018-08-26T20:18:47.390Z
,1_1_1_7,7,6,42,,fruiting,,700,650,750,52,2018-08-26T20:18:47.390Z
,1_1_2_1,1,17,21,,fruiting,,253,110,24,20,2018-08-26T20:18:47.390Z
,1_1_2_2,2,10,19,,vegetative,,66,61,13,11,2018-08-26T20:18:47.390Z
,1_1_2_3,3,3,26,,fruiting,,287,240,32,30,2018-08-26T20:18:47.390Z
,1_1_2_4,4,5,30,,fruiting,,201,165,26,24,2018-08-26T20:18:47.390Z
,1_1_2_5,5,8,32,,vegetative,,98,77,21,18,2018-08-26T20:18:47.390Z
,1_1_2_6,6,25,37,,fruiting,,600,385,39,24,2018-08-26T20:18:47.390Z
,1_1_2_7,7,36,33,,vegetative,,196,190,29,21,2018-08-26T20:18:47.390Z
,1_1_2_8,8,37,50,,vegetative,,210,200,27,24,2018-08-26T20:18:47.390Z
,1_1_2_9,9,47,25,,fruiting,,180,164,30,28,2018-08-26T20:18:47.390Z
,1_1_3_1,1,41,21,,flowering,,50,35,10,4,2018-08-26T20:18:47.390Z
,1_1_3_10,10,19,43,,flowering,,NA,NA,NA,5,2018-08-26T20:18:47.390Z
,1_1_3_2,2,20,21,,flowering,,12,8,7,4,2018-08-26T20:18:47.390Z
,1_1_3_3,3,46,37,,flowering,,8,5,7,4,2018-08-26T20:18:47.390Z
,1_1_3_4,4,2,19,,flowering,,12,10,10,4,2018-08-26T20:18:47.390Z
,1_1_3_5,5,50,13,,fruiting,,10,9,8,5,2018-08-26T20:18:47.390Z
,1_1_3_6,6,48,23,,flowering,,21,19,6,5,2018-08-26T20:18:47.390Z
,1_1_3_7,7,18,12,,flowering,,7,8,6,4,2018-08-26T20:18:47.390Z
,1_1_3_8,8,39,43,,flowering,,10,8,6,3,2018-08-26T20:18:47.390Z
,1_1_3_9,9,20,35,,flowering,,5,7,7,4,2018-08-26T20:18:47.390Z
,1_1_4_1,1,12,24,,flowering,,92,61,30,25,2018-08-26T20:18:47.390Z
,1_1_4_10,10,25,18,,flowering,,100,82,53,33,2018-08-26T20:18:47.390Z
,1_1_4_2,2,15,25,,flowering,,33,27,21,12,2018-08-26T20:18:47.390Z
,1_1_4_3,3,16,24,,flowering,,58,51,31,15,2018-08-26T20:18:47.390Z
,1_1_4_4,4,16,22,,flowering,,310,51,35,15,2018-08-26T20:18:47.390Z
,1_1_4_5,5,16,27,,flowering,,154,18,18,13,2018-08-26T20:18:47.390Z
,1_1_4_6,6,36,36,,flowering,,380,310,53,30,2018-08-26T20:18:47.390Z
,1_1_4_7,7,39,35,,flowering,,260,250,62,26,2018-08-26T20:18:47.390Z
,1_1_4_8,8,40,38,,flowering,,450,400,75,10,2018-08-26T20:18:47.390Z
,1_1_4_9,9,44,26,,flowering,,100,84,32,23,2018-08-26T20:18:47.390Z
,1_1_5_1,1,11,22,,flowering,,9,8,10,3,2018-08-26T20:18:47.390Z
,1_1_5_10,10,19,17,,flowering,,13,12,13,3,2018-08-26T20:18:47.390Z
,1_1_5_2,2,9,26,,flowering,,31,23,31,8,2018-08-26T20:18:47.390Z
,1_1_5_3,3,42,17,,flowering,,10,9,13,2,2018-08-26T20:18:47.390Z
,1_1_5_4,4,36,1,,flowering,,8,8,9,2,2018-08-26T20:18:47.390Z
,1_1_5_5,5,43,20,,flowering,,10,8,18,4,2018-08-26T20:18:47.390Z
,1_1_5_6,6,1,10,,flowering,,33,18,14,4,2018-08-26T20:18:47.390Z
,1_1_5_7,7,11,3,,flowering,,16,16,18,6,2018-08-26T20:18:47.390Z
,1_1_5_8,8,33,34,,flowering,,14,14,15,7,2018-08-26T20:18:47.390Z
,1_1_5_9,9,21,26,,flowering,,20,20,13,4,2018-08-26T20:18:47.390Z
,1_1_6_1,1,18,25,,flowering,,9,8,19,6,2018-08-26T20:18:47.390Z
,1_1_6_10,10,32,1,,flowering,,8,8,22,6,2018-08-26T20:18:47.390Z
,1_1_6_2,2,11,32,,flowering,,14,11,28,7,2018-08-26T20:18:47.390Z
,1_1_6_3,3,15,38,,flowering,,5,5,15,5,2018-08-26T20:18:47.390Z
,1_1_6_4,4,22,41,,flowering,,10,9,30,6,2018-08-26T20:18:47.390Z
,1_1_6_5,5,29,33,,flowering,,10,7,26,5,2018-08-26T20:18:47.390Z
,1_1_6_6,6,33,23,,flowering,,12,9,31,9,2018-08-26T20:18:47.390Z
,1_1_6_7,7,33,19,,flowering,,7,6,25,6,2018-08-26T20:18:47.390Z
,1_1_6_8,8,28,4,,flowering,,14,12,28,6,2018-08-26T20:18:47.390Z
,1_1_7_1,1,17,15,,flowering,,11,12,18,7,2018-08-26T20:18:47.390Z
,1_1_7_10,10,4,13,,flowering,,12,10,15,4,2018-08-26T20:18:47.390Z
,1_1_7_2,2,35,16,,flowering,,25,19,19,9,2018-08-26T20:18:47.390Z
,1_1_7_3,3,17,47,,flowering,,11,12,7,5,2018-08-26T20:18:47.390Z
,1_1_7_4,4,0,33,,flowering,,16,9,13,6,2018-08-26T20:18:47.390Z
,1_1_7_5,5,43,33,,flowering,,16,16,16,6,2018-08-26T20:18:47.390Z
,1_1_7_6,6,7,21,,flowering,,9,8,14,5,2018-08-26T20:18:47.390Z
,1_1_7_7,7,45,25,,flowering,,6,5,15,4,2018-08-26T20:18:47.390Z
,1_1_7_8,8,24,40,,flowering,,11,12,19,7,2018-08-26T20:18:47.390Z
,1_1_7_9,9,45,0,,flowering,,12,13,23,4,2018-08-26T20:18:47.390Z
2018-06-23T14:29:17.813Z,1_2_1_1,1,15,42,,flowering,,28,28,55,29,2018-08-26T20:18:47.390Z
2018-06-23T15:40:40.394Z,1_2_1_10,10,12,49,,flowering,,67,55,52,26,2018-08-26T20:18:47.390Z
2018-06-23T14:39:53.253Z,1_2_1_2,2,22,40,,flowering,,42,39,60,30,2018-08-26T20:18:47.390Z
2018-06-23T15:01:34.558Z,1_2_1_3,3,23,46,,flowering,,40,41,56,26,2018-08-26T20:18:47.390Z
2018-06-23T15:06:06.445Z,1_2_1_4,5,26,44,,flowering,,65,65,50,28,2018-08-26T20:18:47.390Z
2018-06-23T15:10:20.573Z,1_2_1_5,4,26,41,,flowering,,65,43,54,28,2018-08-26T20:18:47.390Z
2018-06-23T15:20:30.333Z,1_2_1_6,6,28,41,,flowering,,42,43,57,25,2018-08-26T20:18:47.390Z
2018-06-23T15:27:12.522Z,1_2_1_7,7,30,42,,flowering,,65,62,55,25,2018-08-26T20:18:47.390Z
2018-06-23T15:32:54.016Z,1_2_1_8,8,21,47,,flowering,,59,46,59,30,2018-08-26T20:18:47.390Z
2018-06-23T15:36:15.242Z,1_2_1_9,9,18,49,,flowering,,86,66,73,33,2018-08-26T20:18:47.390Z
2018-06-23T15:48:59.958Z,1_2_2_1,1,12,49,,flowering,,NA,NA,30,15,2018-08-26T20:18:47.390Z
2018-06-23T17:07:57.429Z,1_2_2_10,10,24,37,,flowering,,23,23,62,18,2018-08-26T20:18:47.390Z
2018-06-23T16:07:42.124Z,1_2_2_2,2,5,36,,flowering,,NA,NA,75,25,2018-08-26T20:18:47.390Z
2018-06-23T16:14:07.742Z,1_2_2_3,3,12,27,,flowering,,NA,NA,52,16,2018-08-26T20:18:47.390Z
2018-06-23T16:22:43.467Z,1_2_2_4,4,4,21,,flowering,,9,6,29,15,2018-08-26T20:18:47.390Z
2018-06-23T16:28:27.578Z,1_2_2_5,5,22,23,,flowering,,NA,NA,71,10,2018-08-26T20:18:47.390Z
2018-06-23T16:34:18.844Z,1_2_2_6,6,7,22,,flowering,,NA,NA,58,8,2018-08-26T20:18:47.390Z
2018-06-23T16:42:40.685Z,1_2_2_7,7,13,40,,flowering,,6,7,49,15,2018-08-26T20:18:47.390Z
2018-06-23T16:47:22.456Z,1_2_2_8,8,5,45,,flowering,,NA,NA,80,13,2018-08-26T20:18:47.390Z
2018-06-23T16:54:07.748Z,1_2_2_9,9,35,11,,flowering,,NA,NA,38,10,2018-08-26T20:18:47.390Z
2018-06-23T17:12:33.064Z,1_2_3_1,1,24,37,,flowering,,33,34,74,32,2018-08-26T20:18:47.390Z
2018-06-23T18:24:45.536Z,1_2_3_10,10,26,38,,flowering,,NA,NA,NA,NA,2018-08-26T20:18:47.390Z
2018-06-23T17:24:43.010Z,1_2_3_2,2,20,31,,flowering,,17,20,80,25,2018-08-26T20:18:47.390Z
2018-06-23T17:38:51.050Z,1_2_3_3,3,46,41,,flowering,,17,17,63,18,2018-08-26T20:18:47.390Z
2018-06-23T17:43:59.988Z,1_2_3_4,4,13,4,,flowering,,17,20,78,34,2018-08-26T20:18:47.390Z
2018-06-23T17:54:16.039Z,1_2_3_5,5,6,0,,flowering,,16,17,55,15,2018-08-26T20:18:47.390Z
2018-06-23T18:01:19.573Z,1_2_3_6,6,23,2,,flowering,,30,20,65,32,2018-08-26T20:18:47.390Z
2018-06-23T18:04:14.476Z,1_2_3_7,7,7,18,,flowering,,30,22,63,19,2018-08-26T20:18:47.390Z
2018-06-23T18:12:11.615Z,1_2_3_8,8,26,25,,flowering,,45,45,58,18,2018-08-26T20:18:47.390Z
2018-06-23T18:19:56.916Z,1_2_3_9,9,11,30,,flowering,,30,25,72,33,2018-08-26T20:18:47.390Z
2018-06-23T18:46:26.679Z,1_2_4_1,1,18,37,,vegetative,,200,200,92,52,2018-08-26T20:18:47.390Z
2018-06-23T19:42:26.751Z,1_2_4_10,10,42,6,,vegetative,,608,300,120,43,2018-08-26T20:18:47.390Z
2018-06-23T18:47:07.022Z,1_2_4_2,2,17,34,,vegetative,,214,100,95,50,2018-08-26T20:18:47.390Z
2018-06-23T18:52:34.938Z,1_2_4_3,3,19,26,,vegetative,,296,199,61,35,2018-08-26T20:18:47.390Z
2018-06-23T18:58:39.329Z,1_2_4_4,4,12,25,,fruiting,,122,102,41,31,2018-08-26T20:18:47.390Z
2018-06-23T19:05:40.148Z,1_2_4_5,5,0,25,,fruiting,,335,420,78,60,2018-08-26T20:18:47.390Z
2018-06-23T19:10:57.820Z,1_2_4_6,6,1,22,,vegetative,,226,246,60,50,2018-08-26T20:18:47.390Z
2018-06-23T19:19:52.414Z,1_2_4_7,7,27,34,,fruiting,,400,330,110,90,2018-08-26T20:18:47.390Z
2018-06-23T19:25:15.683Z,1_2_4_8,8,35,38,,fruiting,,210,100,83,60,2018-08-26T20:18:47.390Z
2018-06-23T19:34:38.804Z,1_2_4_9,9,44,23,,vegetative,,380,180,81,45,2018-08-26T20:18:47.390Z
2018-06-23T19:47:41.738Z,1_2_5_1,1,50,25,,vegetative,,600,600,2160,180,2018-08-26T20:18:47.390Z
2018-06-23T21:32:27.488Z,1_2_5_10,10,41,33,,vegetative,,250,250,1060,NA,2018-08-26T20:18:47.390Z
2018-06-23T20:23:16.094Z,1_2_5_2,2,42,19,,vegetative,,500,500,1310,NA,2018-08-26T20:18:47.390Z
2018-06-23T20:39:08.383Z,1_2_5_3,3,40,19,,vegetative,,500,400,1660,230,2018-08-26T20:18:47.390Z
2018-06-23T20:41:44.996Z,1_2_5_4,4,30,7,,vegetative,,400,400,1160,85,2018-08-26T20:18:47.390Z
2018-06-23T20:50:36.379Z,1_2_5_5,5,29,15,,vegetative,,450,450,1710,140,2018-08-26T20:18:47.390Z
2018-06-23T21:01:09.747Z,1_2_5_6,6,15,3,,vegetative,,280,250,1160,180,2018-08-26T20:18:47.390Z
2018-06-23T21:10:37.621Z,1_2_5_7,7,21,17,,vegetative,,380,350,110,168,2018-08-26T20:18:47.390Z
2018-06-23T21:18:22.157Z,1_2_5_8,8,25,21,,vegetative,,500,550,510,90,2018-08-26T20:18:47.390Z
2018-06-23T21:20:19.005Z,1_2_5_9,9,40,28,,vegetative,,400,350,1060,210,2018-08-26T20:18:47.390Z
