taxon,family,label,siteName,date,numSamples
Picea engelmannii,Pineaceae,1_1_1,Libby Flats,6_19_2018,10
Juniperus communis,Cupressaceae,1_1_2,Libby Flats,6_19_2018,10
Astragalus alpinus,Fabaceae,1_1_3,Libby Flats,6_19_2018,10
Ribes montigenum,Grossulariaceae,1_1_4,Libby Flats,6_19_2018,10
Potentilla diversifolia,Roseaceae,1_1_5,Libby Flats,6_19_2018,10
Bistorta bistortoides,Polygonaceae,1_1_6,Libby Flats,6_19_2018,10
Polemonium viscosum,Polemoniaceae,1_1_7,Libby Flats,6_19_2018,10
Wyethia amplexicaulis,Asteraceae,1_2_1,Tie City,6_23_2018,10
Poa pratensis,Poaceae,1_2_2,Tie City,6_23_2018,10
Aquilegia caerula,Ranunculaceae,1_2_3,Tie City,6_23_2018,10
Juniperus communis,Cupressaceae,1_2_4,Tie City,6_23_2018,10
Abies grandis,Pineaceae,1_2_5,Tie City,6_23_2018,10
Populus angustifolium,Salicaceae,1_2_6,Tie City,6_23_2018,10
Populus tremulloides,Salicaceae,1_2_7,Tie City,6_23_2018,10
Unknown fir,Pineaceae,1_3_1,Med Bow peak,8_26_2018,10
Vaccinium scoparium,Ericaceae,1_3_2,Med Bow peak,8_26_2018,10
Juncus sp.,Cyperaceae,1_3_3,Med Bow peak,8_26_2018,10
Antennaria media,Asteraceae,1_3_4,Med Bow peak,8_26_2018,10
Fragaria virginiana,Roseaceae,1_3_5,Med Bow peak,8_26_2018,10
Osmorhiza depauperata,Apiaceae,2_1_1,Teton Canyon,6_29_2018,10
Pinus contorta,Pineaceae,2_1_2,Teton Canyon,6_29_2018,10
Paxistima myrsinites,Celastraceae,2_1_3,Teton Canyon,6_29_2018,10
Picea engelmannii,Pineaceae,2_1_4,Teton Canyon,6_29_2018,10
Symphoricarpos albus,Caprifoliaceae,2_1_5,Teton Canyon,6_29_2018,10
Vaccinium membranaceum 2_1_6,Ericaceae,2_1_6,Teton Canyon,6_29_2018,10
Unknown fir,Pineaceae,2_2_1,Aspen grove,8_9_2018,10
Potentilla diversifolia var. diversifolia,Roseaceae,2_2_2,Aspen grove,8_9_2018,10
Chamaenerion angustifolium var. angustifolium,Onagraceae,2_2_3,Aspen grove,8_9_2018,10
Thalictrum occidentale,Ranunculaceae,2_2_4,Aspen grove,8_9_2018,10
Eucephalus engelmannii,Asteraceae,2_2_5,Aspen grove,8_9_2018,10
Lupinus argenteus var. argenteus,Fabaceae,2_2_6,Aspen grove,8_9_2018,10
Heracleum maximum,Apiaceae,2_2_7,Aspen grove,8_9_2018,10
Unknown fir,Pineaceae,2_3_1,Table Mountain,8_11_2018,10
Unknown pine,Pineaceae,2_3_2,Table Mountain,8_11_2018,10
Chamaenerion angustifolium var. angustifolium,Onagraceae,2_3_3,Table Mountain,8_11_2018,10
Symphyotrichum foliaceum var. apricum,Asteraceae,2_3_4,Table Mountain,8_11_2018,10
Ligusticum filicinum,Apiaceae,2_3_5,Table Mountain,8_11_2018,10
Eucephalus engelmannii,Asteraceae,2_3_6,Table Mountain,8_11_2018,10
Mertensiana ciliata var. ciliata,Boraginaceae,2_3_7,Table Mountain,8_11_2018,10
Pinus albicaulis,Pineaceae,3_1_1,Laturio,7_4_2018,10
Primula parryi,Primulaceae,3_1_2,Laturio,7_4_2018,10
Polemonium viscosum,Polemoniaceae,3_1_3,Laturio,7_4_2018,10
