sample,waterRetention,toughness,sameLeaf
1_1_6_1,90+,52,No
1_1_6_3,90+,NA,No
1_1_6_4,89,118,No
1_1_6_5,33,110,No
1_1_6_6,90+,135,No
1_1_6_7,90+,110,No
1_1_6_8,90+,117,No
1_1_6_9,90+,88,No
1_1_6_10,44,93,No
1_1_4_1,40,92.5,No
1_1_4_2,35,65,No
1_1_4_3,20,58,No
1_1_4_4,NA,43,No
1_1_4_5,30,25,No
1_1_4_6,30,65,No
1_1_4_7,28,50,No
1_1_4_8,27,65,No
1_1_4_9,20,45,No
1_1_5_2,90+,95,No
1_1_5_7,22,125,No
1_1_5_1,80,,No
1_1_5_3,26,,No
1_1_5_6,65,,No
1_1_3_1,25,,No
1_1_3_2,20,,No
1_1_3_3,45,,No
1_1_3_4,32,,No
1_1_3_5,26,,No
1_1_3_6,22,,No
1_1_3_7,29,,No
1_1_3_8,12,,No
1_1_3_9,31,,No
1_1_3_10,19,,No
1_1_7_1,90+,,No
1_1_7_2,26,,No
1_1_7_3,78,,No
1_1_7_4,90+,,No
1_1_7_5,90+,,No
1_1_7_6,90+,,No
1_1_7_7,90+,,No
1_1_7_8,90+,,No
1_1_7_9,90+,,No
1_1_7_10,90+,,No
1_2_1_1,62,180,yes
1_2_1_2,90,180,yes
1_2_1_3,90,200,yes
1_2_1_4,48,85,yes
1_2_1_5,55,130,yes
1_2_1_6,90,215,yes
1_2_1_7,90,150,yes
1_2_1_8,32,155,yes
1_2_1_9,90,125,yes
1_2_1_10,53,215,yes
1_2_3_1,35,70,yes
1_2_3_2,13,80,yes
1_2_3_3,25,120,yes
1_2_3_4,22,130,yes
1_2_3_5,40,75,yes
1_2_3_6,85,160,yes
1_2_3_7,80,80,yes
1_2_3_8,90,160,yes
1_2_3_9,90,130,yes
1_2_3_10,35,75,yes
1_2_6_1,65,275,yes
1_2_6_2,40,220,yes
1_2_6_3,75,260,yes
1_2_6_4,65,250,yes
1_2_6_5,90,275,yes
1_2_6_6,62,255,yes
1_2_6_7,90,240,yes
1_2_6_8,70,205,yes
1_2_6_9,65,225,yes
1_2_6_10,90,265,yes
1_2_7_1,90,250,yes
1_2_7_2,63,200,yes
1_2_7_3,54,350,yes
1_2_7_4,90,150,yes
1_2_7_5,90,230,yes
1_2_7_6,90,230,yes
1_2_7_7,90,250,yes
1_2_7_8,90,215,yes
1_2_7_9,90,150,yes
1_2_7_10,90,255,yes
2_1_1_1,90,150,yes
2_1_1_2,90,130,yes
2_1_1_3,73,120,yes
2_1_1_4,90,80,yes
2_1_1_5,90,110,yes
2_1_1_6,90,70,yes
2_1_1_7,90,140,yes
2_1_1_8,90,120,yes
2_1_1_9,90,40,yes
2_1_1_10,90,110,yes
2_1_3_1,90,400,yes
2_1_3_2,90,NA,yes
2_1_3_3,74,405,yes
2_1_3_4,45,NA,yes
2_1_3_5,65,500,yes
2_1_3_6,NA,NA,yes
2_1_3_7,90,395,yes
2_1_3_8,60,NA,yes
2_1_3_9,55,320,yes
2_1_3_10,54,NA,yes
2_1_5_1,90,280,yes
2_1_5_2,90,220,yes
2_1_5_3,90,55,yes
2_1_5_4,90,206,yes
2_1_5_5,90,NA,yes
2_1_5_6,75,255,yes
2_1_5_7,45,245,yes
2_1_5_8,90,240,yes
2_1_5_9,75,200,yes
2_1_5_10,60,160,yes
2_1_6_1,20,160,yes
2_1_6_2,80,165,yes
2_1_6_3,30,155,yes
2_1_6_4,90,185,yes
2_1_6_5,57,NA,yes
2_1_6_6,74,320,yes
2_1_6_7,96,215,yes
2_1_6_8,90,130,yes
2_1_6_9,90,180,yes
2_1_6_10,38,165,yes
3_1_2_1,32,200,yes
3_1_2_2,70,170,yes
3_1_2_3,60,175,yes
3_1_2_4,40,115,yes
3_1_2_5,28,170,yes
3_1_2_6,31,165,yes
3_1_2_7,43,165,yes
3_1_2_8,NA,NA,yes
3_1_2_9,30,175,yes
3_1_2_10,42,200,yes
3_1_5_1,90,NA,yes
3_1_5_2,90,NA,yes
3_1_5_3,NA,NA,yes
3_1_5_4,90,NA,yes
3_1_5_5,55,173,yes
3_1_5_6,NA,NA,yes
3_1_5_7,90,90,yes
3_1_5_8,NA,NA,yes
3_1_5_9,90,115,yes
