label,area_cm2,mass_g,mass_extracted_g,leaves_extracted,extractionFailed,rewashed,leaf_broken,slaOnly,region,site,species,indiv,notes
1_1_1_1,0.1967842573,0.0092,0.042,4,,,,,1,1,1,1,
1_1_1_2,0.2519798416,0.0093,0.041,3,,,,,1,1,1,2,
1_1_1_3,0.2999760019,0.0092,0.038,4,,,,,1,1,1,3,
1_1_1_4,0.2231821454,0.0105,0.043,3,,,,,1,1,1,4,
1_1_1_5,0.1943844492,0.0088,0.042,3,,,,,1,1,1,5,
1_1_1_6,0.3911687065,0.0125,0.042,2,,,,,1,1,1,6,
1_1_1_7,0.4055675546,0.0069,0.043,3,,,,,1,1,1,7,
1_1_1_8,NA,NA,NA,NA,,,,,1,1,1,8,
1_1_1_9,NA,NA,NA,NA,,,,,1,1,1,9,
1_1_1_10,NA,NA,NA,NA,,,,,1,1,1,10,
1_1_2_1,0.1103911687,0.0017,0.045,10,,,,,1,1,2,1,
1_1_2_2,0.1175905928,0.0029,0.033,6,,,,,1,1,2,2,
1_1_2_3,0.1655867531,0.0035,0.021,6,,,,,1,1,2,3,
1_1_2_4,0.09119270458,0.0011,0.027,6,,,,,1,1,2,4,
1_1_2_5,0.158387329,0.0039,0.029,7,,,,,1,1,2,5,
1_1_2_6,0.2111831054,0.0052,0.043,5,,,,,1,1,2,6,
1_1_2_7,0.08879289657,0.0015,0.029,6,,,,,1,1,2,7,
1_1_2_8,0.1151907847,0.0028,0.04,5,,,,,1,1,2,8,
1_1_2_9,0.1055915527,0.0028,0.024,6,,,,,1,1,2,9,
1_1_2_10,NA,NA,NA,NA,,,,,1,1,2,10,
1_1_3_1,0.123,0.001,0.049,10,,,,,1,1,3,1,
1_1_3_2,0.14,0.0015,0.05,9,,,,,1,1,3,2,
1_1_3_3,0.08,0.001,0.043,11,,,,,1,1,3,3,
1_1_3_4,0.16,0.0015,0.049,14,,,,,1,1,3,4,
1_1_3_5,0.17,0.0015,0.045,11,,,,,1,1,3,5,
1_1_3_6,0.11,0.0013,0.045,14,,,,,1,1,3,6,
1_1_3_7,0.13,0.0015,0.047,11,,,,,1,1,3,7,
1_1_3_8,0.13,0.0013,0.049,11,,,,,1,1,3,8,
1_1_3_9,0.08,0.0008,0.045,10,,,,,1,1,3,9,
1_1_3_10,0.07,0.0007,0.045,18,,,,,1,1,3,10,
1_1_4_1,NA,NA,0.049,3,,,,,1,1,4,1,
1_1_4_2,1.027837773,0.094,0.048,2,,,,,1,1,4,2,
1_1_4_3,NA,NA,0.045,1,,,,,1,1,4,3,
1_1_4_4,1.385169186,0.078,0.044,1,,,,,1,1,4,4,
1_1_4_5,1.164146868,0.077,0.05,2,,,,,1,1,4,5,
1_1_4_6,2.382289417,0.0163,0.049,1,,,,,1,1,4,6,
1_1_4_7,1.806815455,0.0106,0.044,1,,,,,1,1,4,7,
1_1_4_8,1.496520278,0.0091,0.048,1,,,,,1,1,4,8,
1_1_4_9,1.881689465,0.0144,0.043,1,,,,,1,1,4,9,
