"ID","Series","Repeat","Ambient Humidity","Ambient Temperature","Leaf Angle","Leaf Temp Differential","LEF","Light Intensity (PAR)","NPQt","Phi2","PhiNO","PhiNPQ","Relative Chlorophyll","time","Notes","Take a picture of leaf","What is label (location_site_plantTaxon_indiv)","What is taxon","Time of Day","User","Device ID","Latitude","Longitude","Issues"
939778,"Whole Data Set",1,42.040039,18.41,12.52,1.0199999999999996,120.309,1383,0.703,0.193,0.474,0.333,7.014572666404097,"07/31/2018 10:32 AM","na","","3_3_1_1","bistorta bistertoides",10.543611111111112,"harrisonjg","01:12:37:24",42.75737240118049,-109.1935896627939,1
939777,"Whole Data Set",1,48.173828,17.83,31.45,0.5600000000000023,105.131,649,0.257,0.36,0.509,0.131,3.410791650256006,"07/31/2018 10:36 AM","na","","3_3_1_2","bistorta bistertoides",10.611944444444443,"harrisonjg","01:12:37:24",42.757422777722304,-109.193562426409,2
939776,"Whole Data Set",1,47.878906,19.889999,24.28,-0.2999989999999997,116.196,811,0.441,0.318,0.473,0.208,3.269003544702638,"07/31/2018 10:40 AM","na","","3_3_1_3","bistorta bistertoides",10.679722222222221,"harrisonjg","01:12:37:24",42.757261354876576,-109.1935719356042,""
939775,"Whole Data Set",1,49.148438,21.799999,17.94,-0.5499989999999997,125.782,945,0.531,0.296,0.46,0.244,-0.5317053958251282,"07/31/2018 10:45 AM","na","","3_3_1_4","bistorta bistertoides",10.750277777777777,"harrisonjg","01:12:37:24",42.75719411549973,-109.19345526309684,2
939774,"Whole Data Set",1,50.557617,20.65,9.98,1.2600000000000016,77.695,1062,0.051,0.163,0.797,0.04,29.220165419456475,"07/31/2018 10:50 AM","na","","3_3_1_5","bistorta bistertoides",10.836944444444445,"harrisonjg","01:12:37:24",42.757372916528254,-109.19343013027887,""
939773,"Whole Data Set",1,50.351562,20.360001,25.97,0.38999899999999954,80.193,407,0.346,0.438,0.418,0.145,54.359984245766036,"07/31/2018 10:55 AM","na","","3_3_1_6","bistorta bistertoides",10.923055555555555,"harrisonjg","01:12:37:24",42.75761103681412,-109.19370483071829,""
939772,"Whole Data Set",1,49.819336,18.6,55.11,1.7399999999999984,66.562,317,0.731,0.467,0.308,0.225,49.074438755415514,"07/31/2018 11:02 AM","na","","3_3_1_7","bistorta bistertoides",11.0475,"harrisonjg","01:12:37:24",42.75736132312317,-109.19373090654967,""
939771,"Whole Data Set",1,47.53125,18.26,4.21,0.9699999999999989,27.924,106,0.416,0.585,0.293,0.122,0.6262307995273729,"07/31/2018 11:05 AM","na","","3_3_1_8","bistorta bistertoides",11.099722222222223,"harrisonjg","01:12:37:24",42.75738757845887,-109.19379568570189,2
939770,"Whole Data Set",1,50.805664,20.26,11.07,0.9399999999999977,212.791,1574,1.064,0.3,0.339,0.361,18.24340291453328,"07/31/2018 11:10 AM","na","","3_3_1_9","bistorta bistertoides",11.182777777777778,"harrisonjg","01:12:37:24",42.757390999436154,-109.1938616986618,""
939769,"Whole Data Set",1,46.613281,20.389999,10.27,0.16000100000000117,26.555,100,0.19,0.59,0.344,0.065,40.86254430878299,"07/31/2018 11:15 AM","na","","3_3_1_10","bistorta bistertoides",11.254166666666666,"harrisonjg","01:12:37:24",42.75739411801201,-109.19391171989706,""
939768,"Whole Data Set",1,52.451172,21.950001,9.2,-1.6600010000000012,196.626,1657,1.012,0.264,0.366,0.37,40.216620716817644,"07/31/2018 11:28 AM","na","","3_3_2_1","potentilla diversifolia",11.47888888888889,"harrisonjg","01:12:37:24",42.7573847573076,-109.19361129249323,""
939767,"Whole Data Set",1,45.271484,21.030001,33.31,-0.38000100000000003,138.197,1108,0.527,0.277,0.473,0.25,5.214651437573848,"07/31/2018 11:34 AM","na","","3_3_2_2","potentilla diversifolia",11.573333333333332,"harrisonjg","01:12:37:24",42.75734139390529,-109.1936653952419,""
939766,"Whole Data Set",1,49.482422,20.809999,18.74,-0.30999900000000125,126.465,1228,0.265,0.229,0.61,0.161,53.61953525009846,"07/31/2018 11:39 AM","na","","3_3_2_3","potentilla diversifolia",11.660277777777779,"harrisonjg","01:12:37:24",42.75725934591103,-109.1937336276209,""
939765,"Whole Data Set",1,43.801758,23.190001,21.57,-1.0000009999999975,134.003,1149,0.577,0.259,0.47,0.271,29.04686884600236,"07/31/2018 11:44 AM","na","","3_3_2_4","potentilla diversifolia",11.7425,"harrisonjg","01:12:37:24",42.75738502491659,-109.19381518216372,""
939764,"Whole Data Set",1,42.583984,22.18,41.89,0.14999999999999858,147.304,865,0.571,0.378,0.396,0.226,7.372981488775108,"07/31/2018 11:49 AM","na","","3_3_2_5","potentilla diversifolia",11.831944444444444,"harrisonjg","01:12:37:24",42.75720927385457,-109.19348731930958,1
939763,"Whole Data Set",1,45.149414,24.129999,12.1,0.06000099999999975,171.469,1402,1.275,0.272,0.32,0.408,18.692398582118944,"07/31/2018 11:54 AM","na","","3_3_2_6","potentilla diversifolia",11.901666666666667,"harrisonjg","01:12:37:24",42.75724848187779,-109.19338940745588,""
