ID,Series,Repeat,Ambient Humidity,Ambient Temperature,Leaf Angle,Leaf Temp Differential,LEF,Light Intensity (PAR),NPQt,Phi2,PhiNO,PhiNPQ,Relative Chlorophyll,time,Notes,Take a picture of leaf,What is label (location_site_plantTaxon_indiv),What is taxon,Time of Day,User,Device ID,Latitude,Longitude,Issues
879146,Whole Data Set,1,61.738281,15.91,12.27,-1.98,10.617,43,0.032,0.549,0.437,0.014,46.06931863,6/23/18 8:45,na,,1_2_1_1,wyethia amplexicaulis,8.753888889,harrisonjg,01:12:37:24,0,0,1
879145,Whole Data Set,1,59.990234,18.290001,14.44,-1.820001,11.987,50,0.09,0.533,0.429,0.039,32.42615203,6/23/18 9:00,na,,1_2_1_2,wyethia amplexicaulis,9.006666667,harrisonjg,01:12:37:24,0,0,
879144,Whole Data Set,1,50.615234,22.690001,56.94,-1.360001,17.172,73,0.21,0.523,0.394,0.083,42.33950374,6/23/18 9:12,na,,1_2_1_5,wyethia amplexicaulis,9.206666667,harrisonjg,01:12:37:24,0,0,
879143,Whole Data Set,1,52.400391,21.34,30.34,-0.4,22.77,98,0.05,0.516,0.461,0.023,39.75580937,6/23/18 9:17,na,,1_2_1_3,wyethia amplexicaulis,9.297222222,harrisonjg,01:12:37:24,0,0,
879142,Whole Data Set,1,53.897461,22.08,56.25,-1.07,7.455,29,0.02,0.571,0.42,0.008,39.49586451,6/23/18 9:22,na,,1_2_1_4,wyethia amplexicaulis,9.383055556,harrisonjg,01:12:37:24,0,0,1
879141,Whole Data Set,1,53.167969,22.879999,3.3,-1.449999,124.959,1245,1.368,0.223,0.328,0.449,32.24103978,6/23/18 9:24,na,,1_2_1_6,wyethia amplexicaulis,9.41,harrisonjg,01:12:37:24,0,0,1
879140,Whole Data Set,1,47.367188,24.049999,47.35,-2.619999,20.137,81,0.043,0.552,0.429,0.019,44.94682946,6/23/18 9:30,na,,1_2_1_7,wyethia amplexicaulis,9.505277778,harrisonjg,01:12:37:24,0,0,
879139,Whole Data Set,1,43.798828,24.49,74.28,-1.78,12.35,51,0.137,0.538,0.406,0.055,36.53406853,6/23/18 9:35,na,,1_2_1_8,wyethia amplexicaulis,9.586111111,harrisonjg,01:12:37:24,0,0,
879138,Whole Data Set,1,46.595703,25.549999,78.22,-2.979999,72.379,793,0.201,0.203,0.664,0.133,33.56439543,6/23/18 9:42,na,,1_2_1_10,wyethia amplexicaulis,9.700555556,harrisonjg,01:12:37:24,0,0,
879137,Whole Data Set,1,42.339844,25.84,28.24,-2.41,13.328,53,0.172,0.559,0.376,0.065,38.90508074,6/23/18 9:45,na,,1_2_1_10,wyethia amplexicaulis,9.760555556,harrisonjg,01:12:37:24,0,0,
879136,Whole Data Set,1,49.649414,17.940001,12.68,-0.610001,12.988,58,0.431,0.498,0.351,0.151,10.06301694,6/23/18 10:09,na,,1_2_2_1,poa pratensis,10.1575,harrisonjg,01:12:37:24,0,0,
879135,Whole Data Set,1,48.209961,19.049999,21.38,-1.559999,15.153,74,0.711,0.455,0.319,0.226,0.799527373,6/23/18 10:11,na,,1_2_2_2,poa pratensis,10.19972222,harrisonjg,01:12:37:24,0,0,3
879134,Whole Data Set,1,51.646484,21.469999,50.26,-1.939999,25.892,130,0.843,0.443,0.302,0.255,0.200866483,6/23/18 10:20,na,,1_2_2_3,poa pratensis,10.33888889,harrisonjg,01:12:37:24,0,0,2
879133,Whole Data Set,1,47.817383,23.969999,12.91,-2.109999,46.513,517,2.05,0.2,0.262,0.538,1.169751871,6/23/18 10:25,na,,1_2_2_4,poa pratensis,10.42416667,harrisonjg,01:12:37:24,0,0,3
879132,Whole Data Set,1,43.881836,25.690001,33.44,-1.880001,15.141,56,0.387,0.601,0.288,0.111,7.341473021,6/23/18 10:31,na,,1_2_2_5,poa pratensis,10.52805556,harrisonjg,01:12:37:24,0,0,1
879131,Whole Data Set,1,40.818359,24.780001,15.88,-1.010001,28.001,134,1.462,0.464,0.218,0.318,0.783773139,6/23/18 10:40,na,,1_2_2_6,poa pratensis,10.67361111,harrisonjg,01:12:37:24,0,0,3
879130,Whole Data Set,1,39.743164,24.639999,21.14,-0.269999,17.206,74,0.613,0.517,0.3,0.184,6.167782592,6/23/18 10:45,na,,1_2_2_7,poa pratensis,10.76361111,harrisonjg,01:12:37:24,0,0,1
879129,Whole Data Set,1,40.321289,23.65,29.07,-1.12,19.969,81,0.411,0.548,0.321,0.132,-0.799527373,6/23/18 10:52,na,,1_2_2_8,poa pratensis,10.88111111,harrisonjg,01:12:37:24,0,0,3
879128,Whole Data Set,1,38.021484,22.799999,34.9,-0.569999,22.062,78,0.458,0.629,0.255,0.117,0.563213864,6/23/18 11:00,na,,1_2_2_9,poa pratensis,11.00722222,harrisonjg,01:12:37:24,0,0,2
879127,Whole Data Set,1,39.166992,22.440001,24.63,-0.350001,22.25,149,0.792,0.332,0.373,0.295,0.795588814,6/23/18 11:04,na,,1_2_2_9,poa pratensis,11.08222222,harrisonjg,01:12:37:24,0,0,2
879126,Whole Data Set,1,39.456055,21.4,37.81,-1.65,11.633,58,0.697,0.446,0.327,0.228,22.64277275,6/23/18 11:11,na,,1_2_2_10,poa pratensis,11.18555556,harrisonjg,01:12:37:24,0,0,1
879125,Whole Data Set,1,47.212891,20.84,26.6,-0.2,72.269,685,0.524,0.234,0.502,0.263,43.4816857,6/23/18 11:26,na,,1_2_3_1,aqulegia caerula,11.44333333,harrisonjg,01:12:37:24,0,0,1
879124,Whole Data Set,1,47.833984,21.58,27.13,-0.77,13.117,49,0.513,0.595,0.268,0.137,40.80346593,6/23/18 11:35,na,,1_2_3_2,aqulegia caerula,11.58388889,harrisonjg,01:12:37:24,0,0,1
879123,Whole Data Set,1,46.821289,21.870001,54.8,-1.120001,65.823,284,0.33,0.515,0.365,0.12,36.4040961,6/23/18 11:43,na,,1_2_3_3,aqulegia caerula,11.71666667,harrisonjg,01:12:37:24,0,0,
879122,Whole Data Set,1,46.350586,21.709999,52.43,-0.009999,2.583,10,0.356,0.574,0.314,0.112,37.82591571,6/23/18 11:52,na,,1_2_3_4,aqulegia caerula,11.87055556,harrisonjg,01:12:37:24,0,0,2
879121,Whole Data Set,1,52.354492,21.59,14.86,-0.45,23.125,91,0.387,0.565,0.314,0.121,48.32611264,6/23/18 11:57,na,,1_2_3_5,aqulegia caerula,11.96055556,harrisonjg,01:12:37:24,0,0,
879120,Whole Data Set,1,48.425781,21.639999,25.37,-0.529999,72.902,455,0.731,0.356,0.372,0.272,41.2051989,6/23/18 12:06,na,,1_2_3_7,aqulegia caerula,12.10083333,harrisonjg,01:12:37:24,0,0,1
879119,Whole Data Set,1,44.320312,23.25,26.87,-1.64,38.742,148,0.459,0.582,0.287,0.132,7.2390705,6/23/18 12:13,na,,1_2_3_7,aqulegia caerula,12.23,harrisonjg,01:12:37:24,0,0,1
879118,Whole Data Set,1,48.842773,22.49,26.94,-0.88,16.876,67,0.727,0.56,0.255,0.185,37.83379283,6/23/18 12:18,na,,1_2_3_8,aqulegia caerula,12.30305556,harrisonjg,01:12:37:24,0,0,
879117,Whole Data Set,1,51.616211,21.870001,17.86,0.889999,40.903,151,0.36,0.602,0.293,0.105,37.85742418,6/23/18 12:23,na,,1_2_3_9,aqulegia caerula,12.38944444,harrisonjg,01:12:37:24,0,0,
879116,Whole Data Set,1,45.633789,22.139999,36.36,-1.329999,12.26,45,0.416,0.605,0.279,0.116,32.30011816,6/23/18 12:29,na,,1_2_3_10,aqulegia caerula,12.48888889,harrisonjg,01:12:37:24,0,0,1
879115,Whole Data Set,1,43.314453,24.35,9.5,-0.96,29.878,106,0.197,0.626,0.312,0.061,2.902717605,6/23/18 12:40,na,,1_2_4_1,juniperus communis,12.67638889,harrisonjg,01:12:37:24,0,0,1
879114,Whole Data Set,1,38.244141,24.139999,7.5,-1.429999,58.582,311,0.323,0.419,0.439,0.142,1.543914927,6/23/18 12:51,na,,1_2_4_2,juniperus communis,12.85361111,harrisonjg,01:12:37:24,0,0,2
