ID,Ambient_Humidity,Ambient_Temperature,Leaf_Angle,Leaf_Temp_Differential,LEF,Light_Intensity (PAR),NPQt,Phi2,PhiNO,PhiNPQ,Relative_Chlorophyll,time,label,taxon,thickness,thicknessReliable,absorbance_420,absorbance_530,absorbance_605,absorbance_650,absorbance_730,absorbance_850,absorbance_880,absorbance_940,angle,angle_direction,B,baseline,compass,compass_direction,contactless_temp,detector_read1,detector_read2,ecs_initial,ecs_max,ecs_r_squared,ECSt,flatten_slope,FmPrime,FoPrime,Fs,FvP/FmP,G,gH+,humidity,humidity2,light2_raw1,light2_raw2,light2_raw3,light6_raw1,light6_raw2,light6_raw3,light_intensity,light_intensity_raw,MPF_rsquared,MPF_slope,NPQt_MPF,NPQt_noMPF,Phi2_MPF,PhiNPQ_MPF,PhiNPQ_noMPF,pitch,pressure,pressure2,qL,qP,R,ratio_MPF/noMPF_Phi2,ratio_MPF/noMPF_PhiNO,ratio_MPF/noMPF_PhiNPQ,Rel_Chl_intensity,RFd,roll,SPAD_420,SPAD_420_intensity,SPAD_530,SPAD_530_intensity,SPAD_605,SPAD_605_intensity,SPAD_650,SPAD_650_intensity,SPAD_730,SPAD_730_intensity,SPAD_850,SPAD_850_intensity,SPAD_880,SPAD_880_intensity,spad_raw1,spad_raw2,spad_raw3,temperature,temperature2,TimeofDay,vH+,User,Device ID,Latitude,Longitude,Issues,note,photo,status
965015,41.943359,20.59,3.95,1.7,133.275,1165,0.637,0.254,0.456,0.29,11.75265853,8/24/18 11:23,7_1_1_1,Salix glauca var. villosa,0.3,Y,0.71,0.575,0.623,0.713,0.288,0.3,0.331,0.366,3.95,N,506,415.1748107,90,E,22.29,7227,19076,28267.72,28293.09,0.390203961,0.0043,0.0656,8636.366,2169,6440.8,0.749,539,855.7444,41.943359,43.244141,5248.5,33070.5,65535,12887,51233,51252.5,1165,2148,-0.997,-3640165.957,,,,,,-3.71,682.977478,684.002319,0.114,0.339,1372,1.42574,0.73433,0.76029,1,0.341,-1.38,34.48,1,20.9,1,25.7,1,11.75,1,-7.78,1,-6.55,1,-3.41,1,34.74,27.74,16.48,20.59,20.559999,11.38805556,0.000005,harrisonjg,01:12:37:24,,,,,,submitted
965014,35.511719,21.030001,7.35,0.679999,165.485,1331,0.601,0.276,0.452,0.272,42.11106735,8/24/18 11:29,7_1_1_2,Salix glauca var. villosa,0.43,Y,1.745,1.222,1.301,1.579,0.408,0.385,0.43,0.461,7.35,NE,580,474.0621793,90,E,21.71,8094,4038,25600.38,25696.65,0.468843926,0.0019,0.0401,12574.495,3106,9100.3,0.753,617,13.9505,35.511719,35.943359,714.5,4350,9672,10350.5,41059,41065,1331,2465,-0.993,-6963253.424,,,,,,-3.73,683.116577,684.170776,0.125,0.367,1580,1.5582,0.66376,0.69495,1,0.382,6.34,128.41,1,76.15,1,84.05,1,42.11,1,-5.29,1,-7.58,1,-3.1,1,111.82,106.22,89.95,21.030001,20.98,11.49222222,0.00013509,harrisonjg,01:12:37:24,,,,,,submitted
965013,37.926758,22.59,30.21,-0.6,114.508,622,1.262,0.409,0.261,0.33,1.090980701,8/24/18 11:34,7_1_1_3,Salix glauca var. villosa,0.33,Y,0.29,0.244,0.282,0.286,0.158,0.169,0.204,0.21,30.21,SE,289,339.6468361,90,E,21.99,6115,41402,24295.8,24283.43,0.170979016,0,0.046,4096.075,1297,2420.4,0.683,307,0,37.926758,38.875977,14015,65535,65111.5,18453.5,65535,65535,622,1180,-0.997,-2782856.485,,,,,,27.81,683.514771,684.586731,0.321,0.599,760,1.3372,0.66742,0.7262,1,0.692,12.3,8.04,1,3.4,1,7.2,1,1.09,1,-5.2,1,-4.02,1,-0.52,1,7.67,8.73,27.44,22.59,22.51,11.56777778,0,harrisonjg,01:12:37:24,,,2,,,submitted
965012,36.964844,23.469999,11.53,-0.999999,169.948,1221,1.276,0.309,0.303,0.387,0.543521071,8/24/18 11:38,7_1_1_4,Salix glauca var. villosa,0.25,Y,0.177,0.147,0.138,0.161,0.071,0.084,0.123,0.098,11.53,SW,540,298.4868067,90,E,22.47,5509,51733,22128.18,22102.16,0.265085278,NA,0.0906,2131.449,678,1472.2,0.682,575,NA,36.964844,37.611328,18726,65535,59471.5,23877,65535,65535,1221,2259,-0.991,-1478484.348,,,,,,5.58,683.538269,684.601013,0.209,0.454,1439,1.65187,0.665,0.72474,1,0.448,-10.11,7.92,1,4.96,1,4.03,1,0.54,1,-2.63,1,-1.41,1,2.53,1,6.28,8.73,31.37,23.469999,23.4,11.64027778,NA,harrisonjg,01:12:37:24,,,3,,,submitted
965011,39.092773,22.83,26.74,-0.36,137.491,746,0.708,0.41,0.346,0.245,45.79361954,8/24/18 11:42,7_1_1_5,Salix glauca var. villosa,0.35,Y,,1.184,1.285,1.678,0.384,0.393,0.428,0.466,26.74,SE,341,478.6807965,90,E,22.47,8162,4398,25195.11,25280.67,0.144710704,0.0014,0.0103,11797.523,3059,6965.7,0.741,361,12.169,39.092773,40.711914,569,3407.5,7564.5,10223,40620,40634.5,746,1385,-0.996,-7129423.869,,,,,,16.24,683.475464,684.538269,0.243,0.553,878,1.28078,0.65654,0.69345,1,0.694,21.54,178.32,1,71.77,1,81.85,1,45.79,1,-8.19,1,-7.35,1,-3.82,1,121.17,116.36,100.17,22.83,22.73,11.70833333,0.00011369,harrisonjg,01:12:37:24,,,,,,submitted
965010,40.073242,22.950001,16.93,-0.660001,143.537,969,0.636,0.329,0.41,0.261,28.27884994,8/24/18 11:47,7_1_1_6,Salix glauca var. villosa,0.46,Y,1.275,0.989,1.048,1.223,0.375,0.389,0.427,0.456,16.93,S,432,455.3839482,90,E,22.29,7819,7130,28339.64,28382.98,0.440672028,0.0007,0.0435,11375.994,2856,7631.3,0.749,461,13.2096,40.073242,41.175781,1623,10111,22509,10473.5,41563.5,41583.5,969,1793,-0.996,-6677540.799,,,,,,16.6,683.049744,684.193542,0.165,0.44,1139,1.4276,0.6532,0.68706,1,0.491,-3.38,81.98,1,53.31,1,59.25,1,28.28,1,-8.05,1,-6.62,1,-2.82,1,76.7,70.12,53.81,22.950001,22.84,11.78472222,0.00005032,harrisonjg,01:12:37:24,,,,,,submitted
965009,39.155273,21.690001,14.74,0.019999,45.941,225,1.039,0.454,0.268,0.278,44.59629776,8/24/18 11:51,7_1_1_7,Salix glauca var. villosa,0.62,Y,,1.143,1.23,1.674,0.399,0.42,0.455,0.493,14.74,SE,106,481.4655509,90,E,21.71,8203,4838,25278.05,25317.28,0.252401355,0.0007,0.0173,12479.652,3678,6817.2,0.705,115,9.063,39.155273,40.37793,573.5,3457,7673,9606.5,38137,38140,225,392,-1,-6379881.689,,,,,,12.5,682.85376,683.95752,0.347,0.643,228,1.18288,0.72593,0.7671,1,0.831,7.88,199.98,1,64.97,1,73.68,1,44.6,1,-9.41,1,-7.32,1,-3.86,1,118.13,112.99,96.8,21.690001,21.67,11.85166667,0.00007751,harrisonjg,01:12:37:24,,,,,,submitted
965008,41.603516,21.59,15.84,-0.88,122.017,653,2.281,0.415,0.178,0.407,45.23828279,8/24/18 11:55,7_1_1_8,Salix glauca var. villosa,NA,Y,,1.217,1.26,1.706,0.41,0.441,0.465,0.509,15.84,SE,286,454.636819,90,E,20.71,7808,4002,24036.41,24116.24,0.228471995,0.0014,0.016,6508.104,2616,3805.7,0.598,308,10.694,41.603516,42.813477,533,3175,7046,9270,36762,36774,653,1226,-1,-4039639.659,,,,,,8.65,682.960144,684.106689,0.477,0.694,793,1.29052,0.6989,0.78305,1,0.71,13.32,212.76,1,70.84,1,75.09,1,45.24,1,-9.87,1,-6.75,1,-4.33,1,119.76,115.09,98.91,21.59,21.549999,11.92666667,0.0001297,harrisonjg,01:12:37:24,,,,,,submitted
965007,44.152344,21.450001,8.3,0.259999,158.306,1360,0.771,0.259,0.419,0.323,49.79913352,8/24/18 11:59,7_1_1_9,Salix glauca var. villosa,0.16,Y,,1.206,1.302,,0.388,0.373,0.42,0.45,8.3,E,597,489.8877352,90,E,21.71,8327,4241,24943.54,25071.29,0.423025991,0.0023,0.0353,15306.408,4075,11347.1,0.734,636,16.0086,44.152344,45.418945,467,2808.5,6233.5,10603.5,42109,42117,1360,2516,-0.995,-7472769.881,,,,,,-1.14,682.854736,684.033447,0.127,0.353,1606,1.51833,0.71951,0.75201,1,0.349,8.22,193.51,1,75.6,1,85.17,1,49.8,1,-6.21,1,-7.71,1,-3.07,1,131.34,126.32,110.13,21.450001,21.35,11.99944444,0.00014059,harrisonjg,01:12:37:24,,,,,,submitted
965006,44.383789,20.940001,25.84,0.729999,149.132,803,1.608,0.413,0.225,0.362,43.73375345,8/24/18 12:05,7_1_1_10,Salix glauca var. villosa,0.53,Y,,1.16,1.207,1.624,0.398,0.391,0.432,0.464,25.84,S,363,473.5188126,90,E,21.67,8086,4691,25361.04,25452.2,0.496958163,0.0017,0.0412,9069.568,3159,5326.5,0.652,386,14.2085,44.383789,46.036133,644.5,3887,8640.5,10266,40712.5,40729.5,803,1491,-1,-4791927.379,,,,,,25.44,682.796814,683.920959,0.376,0.633,947,1.23329,0.7374,0.79379,1,0.703,4.66,197.31,1,69.58,1,74.23,1,43.73,1,-6.65,1,-7.35,1,-3.22,1,115.94,110.74,94.49,20.940001,20.77,12.08722222,0.00012211,harrisonjg,01:12:37:24,,,,,,submitted
