instanceID,siteLabel,date,gpsLocation:Latitude,gpsLocation:Longitude,gpsLocation:Altitude,gpsLocation:Accuracy,sitePic__filename,sitePic__type,sitePic__url,sitePic,aspect,slope,SiteNotes,weather,startTime,device,daubPlots__daubplot:Latitude,daubPlots__daubplot:Longitude,daubPlots__daubplot:Altitude,daubPlots__daubplot:Accuracy,daubPlots__denso,daubPlots__daubplotbare,daubPlots__daubplotltter,daubPlots__daubplotgraminoid,daubPlots__daubplotforb,daubPlots__daubplotshrub,daubPlots__daubplottree,daubPlots__depthOhorizon,daubPlots__depthMhorizon1,daubPlots__depthOhorizon2,daubPlots__depthMhorizon2,daubPlots__tempOhorizon,daubPlots__tempMineral,daubPlots__VegCompositionBlock__speciesCode,daubPlots__VegCompositionBlock__coverClass,densit__denso,vegRich_tree,vegRich_shrub,vegRich_forb,vegRich_graminoid,deadDown,plantMeasurements__taxon,plantMeasurements__indiv,plantMeasurements__xcoord,plantMeasurements__ycoord,plantMeasurements__phenology,plantMeasurements__asochost,plantMeasurements__branching__branchnodes,plantMeasurements__branching__branchlength,plantMeasurements__width,plantMeasurements__width2,plantMeasurements__height,plantMeasurements__height_sample,endTime
uuid:18460f60-09e4-47dc-8ec7-c5f1fa1bd2e9,Test,2018-06-14T16:01:00.000Z,null,null,null,null,,,,null,West,null,null,null,2018-06-14T16:01:18.191Z,C8:14:79:50:D6:8E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2018-06-14T16:03:10.944Z
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,,,null,null,null,null,
uuid:854acea0-5476-4476-b558-c5f6180eb495,1_1,2018-06-18T17:10:00.000Z,41.33759982,-106.2964373,3249.244785,4,1529341840840.jpg,image/jpeg,https://buerklelab-202118.appspot.com/view/binaryData?blobKey=build_EPSCoRplantTraits-NoFoliar_1528992039%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A854acea0-5476-4476-b558-c5f6180eb495%5D%2FsiteInfo%3AsitePic,,West,10,Libby flats,partlycloudy,2018-06-18T17:09:39.707Z,C8:14:79:50:D6:8E,41.33779135,-106.296405,3254.344114,4,4,0,6,0,0,2,6,5,10,3,12,43.3,36.6,Ribes montigenum,2,0,1,2,24,3,17,Picea engelmannii_1_1_1,1,14,5,fruiting,null,4,123,1500,1500,520,31,2018-06-20T00:08:15.931Z
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abies lasiocarpa,6,0,,,,,,,,,,,,4,150,,,,,
,,,,,,,,,,,,,,,,,41.33768176,-106.2966055,3253.253361,4,0,0,4,3,3,0,0,2,13,4,11,61.2,50.01,Potentilla diversifolia,2,0,,,,,,,,,,,,3,85,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abies lasiocarpus,4,0,,,,,,Picea engelmannii_1_1_1,2,1,5,fruiting,null,3,93,240,158,775,600,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pedicularis sp,2,0,,,,,,,,,,,,3,100,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lupinus sp,3,0,,,,,,,,,,,,4,110,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown forb,2,0,,,,,,Picea engelmannii_1_1_1,3,24,13,fruiting,null,4,123,1000,1000,910,44,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unk own graminoid,3,0,,,,,,,,,,,,3,90,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Achillea millefolium,1,0,,,,,,,,,,,,3,100,,,,,
,,,,,,,,,,,,,,,,,41.33781855,-106.2963898,3244.530163,4,0,3,1,1,3,0,0,0,15,0,7,null,55.5,Achillea millifolium,1,0,,,,,,Picea engelmannii_1_1_1,4,25,25,fruiting,null,null,null,500,500,750,130,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arabis sp.,2,0,,,,,,Picea engelmannii_1_1_1,5,16,34,fruiting,null,,,320,270,400,160,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lupinus sp,2,0,,,,,,Picea engelmannii_1_1_1,6,6,38,fruiting,null,,,650,700,650,110,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown polygonum,2,0,,,,,,Picea engelmannii_1_1_1,7,6,42,fruiting,null,,,700,650,750,52,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trifolium parryi,1,0,,,,,,Juniperus communis 1_1_2,1,17,21,fruiting,null,,,253,110,24,20,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown forb,1,0,,,,,,Juniperus communis 1_1_2,2,10,19,vegetative,null,,,66,61,13,11,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown forb,1,0,,,,,,Juniperus communis 1_1_2,3,3,26,fruiting,null,,,287,240,32,30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown forb,3,0,,,,,,Juniperus communis 1_1_2,4,5,30,fruiting,null,,,201,165,26,24,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown graminoid,3,0,,,,,,Juniperus communis 1_1_2,5,8,32,vegetative,null,,,98,77,21,18,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sedum sp,1,0,,,,,,Juniperus communis 1_1_2,6,25,37,fruiting,null,,,600,385,39,24,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown graminoid,1,0,,,,,,Juniperus communis 1_1_2,7,36,33,vegetative,null,,,196,190,29,21,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,,,,,,Juniperus communis 1_1_2,8,37,50,vegetative,null,,,210,200,27,24,
,,,,,,,,,,,,,,,,,41.33766277,-106.2963328,3245.552785,4,0,4,1,1,3,0,0,0,14,0,7,null,64.1,Potentilla divirsifolia,2,,,,,,,Juniperus communis 1_1_2,9,47,25,fruiting,null,,,180,164,30,28,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taraxicum officinale,2,,,,,,,Astragalus alpinus 1_1_3,1,41,21,flowering,null,,,50,35,10,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polemonium pulcherrimum,1,,,,,,,Astragalus alpinus 1_1_3,2,20,21,flowering,null,,,12,8,7,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown graminoid,2,,,,,,,Astragalus alpinus 1_1_3,3,46,37,flowering,null,,,8,5,7,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown graminoid,1,,,,,,,Astragalus alpinus 1_1_3,4,2,19,flowering,null,,,12,10,10,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arabis sp,1,,,,,,,Astragalus alpinus 1_1_3,5,50,13,fruiting,null,,,10,9,8,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown fabacea,2,,,,,,,Astragalus alpinus 1_1_3,6,48,23,flowering,null,,,21,19,6,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown forb,1,,,,,,,Astragalus alpinus 1_1_3,7,18,12,flowering,null,,,7,8,6,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown forb,1,,,,,,,Astragalus alpinus 1_1_3,8,39,43,flowering,null,,,10,8,6,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antennaria sp,3,,,,,,,Astragalus alpinus 1_1_3,9,20,35,flowering,null,,,5,7,7,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Astragalus alpinus 1_1_3,10,19,43,flowering,null,,,null,null,null,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ribes montigenum 1_1_4,1,12,24,flowering,null,,,92,61,30,25,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ribes montigenum 1_1_4,2,15,25,flowering,null,,,33,27,21,12,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ribes montigenum 1_1_4,3,16,24,flowering,null,,,58,51,31,15,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ribes montigenum 1_1_4,4,16,22,flowering,null,,,310,51,35,15,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ribes montigenum 1_1_4,5,16,27,flowering,null,,,154,18,18,13,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ribes montigenum 1_1_4,6,36,36,flowering,null,,,380,310,53,30,
