instanceID,siteLabel,date,gpsLocation:Latitude,gpsLocation:Longitude,gpsLocation:Altitude,gpsLocation:Accuracy,sitePic__filename,sitePic__type,sitePic__url,aspect,slope,SiteNotes,weather,startTime,device,daubPlots__daub_Xcoord,daubPlots__daub_Ycoord,daubPlots__denso,daubPlots__daubplotbare,daubPlots__daubplotltter,daubPlots__daubplotgraminoid,daubPlots__daubplotforb,daubPlots__daubplotshrub,daubPlots__daubplottree,daubPlots__depthOhorizon,daubPlots__depthMhorizon1,daubPlots__depthOhorizon2,daubPlots__depthMhorizon2,daubPlots__tempOhorizon,daubPlots__tempMineral,daubPlots__VegCompositionBlock__speciesCode,daubPlots__VegCompositionBlock__coverClass,densit__denso,vegRich_tree,vegRich_shrub,vegRich_forb,vegRich_graminoid,deadDown,plantMeasurements__plantStartTime,plantMeasurements__taxon,plantMeasurements__indiv,plantMeasurements__xcoord,plantMeasurements__ycoord,plantMeasurements__phenology,plantMeasurements__asochost,plantMeasurements__width,plantMeasurements__width2,plantMeasurements__height,plantMeasurements__height_sample,endTime
uuid:ae2a9c82-2268-46ce-9bd0-24d5fee7b433,1_2,2018-06-23T14:27:00.000Z,41.22838313,-106.4763919,2370.016671,12,1529764060122.jpg,image/jpeg,https://buerklelab-202118.appspot.com/view/binaryData?blobKey=build_EPSCoRplantTraits-June21_1529601524%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aae2a9c82-2268-46ce-9bd0-24d5fee7b433%5D%2FsiteInfo%3AsitePic,West,14,Tie trail,sunny,2018-06-23T14:27:15.082Z,C8:14:79:50:D6:8E,35,25,null,0,5,2,4,2,0,10,5,6,9,53.9,52.1,Rosa sp,2,0,4,6,null,null,19,2018-06-23T14:29:17.813Z,Wyethia amplexicaulis,1,15,42,flowering,null,28,28,55,29,2018-06-24T02:10:24.441Z
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Castillija sp,2,0,,,,,,2018-06-23T14:39:53.253Z,Wyethia ample,2,22,40,flowering,null,42,39,60,30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vicia sp,2,0,,,,,,2018-06-23T15:01:34.558Z,Wyethia amplexicaulis,3,23,46,flowering,null,40,41,56,26,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Symphorocarpus sp,3,0,,,,,,2018-06-23T15:06:06.445Z,Wyethia amplexicaulis,5,26,44,flowering,null,65,65,50,28,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Poa pratensis,3,0,,,,,,2018-06-23T15:10:20.573Z,Wyethia amplexicaulis,4,26,41,flowering,null,65,43,54,28,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Angelica sp,1,0,,,,,,2018-06-23T15:20:30.333Z,Wyethia amplexicaulis,6,28,41,flowering,null,42,43,57,25,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mahonia repens,1,0,,,,,,2018-06-23T15:27:12.522Z,Wyethia amplexicaulis,7,30,42,flowering,null,65,62,55,25,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asteracea sp,1,0,,,,,,2018-06-23T15:32:54.016Z,Wyethia amplexicaulis,8,21,47,flowering,null,59,46,59,30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aquiligia caerula,1,0,,,,,,2018-06-23T15:36:15.242Z,Wyethia amplexicaulis,9,18,49,flowering,null,86,66,73,33,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brassicacea sp,1,0,,,,,,2018-06-23T15:40:40.394Z,Wyethia amplexicaulis,10,12,49,flowering,null,67,55,52,26,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abies grandis,1,0,,,,,,2018-06-23T15:48:59.958Z,Poa pratensis,1,12,49,flowering,null,null,null,30,15,
,,,,,,,,,,,,,,,,48,16,null,0,5,4,3,0,0,9,4,7,8,60.7,57.2,Wyethia a,3,3,,,,,,2018-06-23T16:07:42.124Z,Poa pratensis,2,5,36,flowering,null,null,null,75,25,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Angelica sp.,3,2,,,,,,2018-06-23T16:14:07.742Z,Poa pratensis,3,12,27,flowering,null,null,null,52,16,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vicia sp,2,2,,,,,,2018-06-23T16:22:43.467Z,Poa pratensis,4,4,21,flowering,null,9,6,29,15,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tragapogon officinalis,1,3,,,,,,2018-06-23T16:28:27.578Z,Poa pratensis,5,22,23,flowering,null,null,null,71,10,
