instanceID,siteLabel,date,gpsLocation:Latitude,gpsLocation:Longitude,gpsLocation:Altitude,gpsLocation:Accuracy,sitePic__filename,sitePic__type,sitePic__url,sitePic,aspect,slope,SiteNotes,weather,startTime,device,daubPlots__daub_Xcoord,daubPlots__daub_Ycoord,daubPlots__denso,daubPlots__daubplotbare,daubPlots__daubplotltter,daubPlots__daubplotgraminoid,daubPlots__daubplotforb,daubPlots__daubplotshrub,daubPlots__daubplottree,daubPlots__depthOhorizon,daubPlots__depthMhorizon1,daubPlots__depthOhorizon2,daubPlots__depthMhorizon2,daubPlots__depthOhorizon3,daubPlots__depthMhorizon3,daubPlots__depthOhorizon4,daubPlots__depthMhorizon4,daubPlots__tempOhorizon,daubPlots__tempMineral,daubPlots__VegCompositionBlock__speciesCode,daubPlots__VegCompositionBlock__coverClass,vegRich_tree,vegRich_shrub,deadDown,plantMeasurements__plantStartTime,plantMeasurements__taxon,plantMeasurements__indiv,plantMeasurements__xcoord,plantMeasurements__ycoord,plantMeasurements__direction,plantMeasurements__phenology,plantMeasurements__asochost,plantMeasurements__circumStem,plantMeasurements__width,plantMeasurements__width2,plantMeasurements__height,plantMeasurements__height_sample,endTime
uuid:fafb4a62-0191-40ad-90a8-1c2c29af4457,4_1 beartooth,2018-07-16T17:23:00.000Z,44.97025268,-109.4379334,3272.811108,6,,,,null,West,10,null,overcast,2018-07-16T17:23:05.191Z,C8:14:79:50:D6:8E,null,null,0,5,1,2,2,0,0,10,0,7,0,8,3,5,10,47.7,47.3,Salix reticulata,4,0,3,0,2018-07-16T17:24:55.978Z,4_1_1_1 salix,1,18,32,north,fruiting,null,null,112,81,20,6,2018-07-20T15:48:00.546Z
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carex sp,2,,,,2018-07-16T17:40:57.593Z,Salix sp,2,43,41,south,flowering,null,null,170,100,21,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bistorta bistertoides,1,,,,2018-07-16T17:47:15.054Z,Salix sp possible outlier,3,24,25,north,flowering,null,null,210,180,10,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown cushion plant,1,,,,2018-07-16T17:53:49.776Z,Salix sp,4,24,36,north,flowering,null,null,300,222,30,25,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saxifrage,1,,,,2018-07-16T18:01:28.512Z,4_1_1_5,5,16,25,west,flowering,null,null,151,155,21,13,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trifolium,1,,,,2018-07-16T18:06:17.163Z,Salix sp,6,13,11,east,flowering,null,null,107,87,12,6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unkn forb,1,,,,2018-07-16T18:13:04.949Z,Salix sp,7,26,31,north,flowering,null,null,132,106,31,16,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sedum,1,,,,2018-07-16T18:17:06.174Z,Salix sp,8,49,49,east,fruiting,null,null,131,41,42,10,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unk forb,1,,,,2018-07-16T18:22:34.622Z,Salix sp,9,45,17,north,fruiting,null,null,175,160,24,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unk forb,1,,,,2018-07-16T18:27:15.790Z,Salix sp,10,32,26,north,fruiting,null,null,210,130,16,6,
,,,,,,,,,,,,,,,,,null,null,0,1,1,1,1,5,0,11,0,10,3,14,5,8,0,47.3,48.4,Salix reticulata,6,,,,2018-07-16T18:36:04.240Z,Bisbis,1,10,30,null,flowering,null,null,4,4,15,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geum,3,,,,2018-07-16T18:55:53.877Z,Bisbis,2,18,46,null,flowering,null,null,4,5,23,7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carex sp,2,,,,2018-07-16T19:01:13.131Z,Bisbis,3,22,2,null,flowering,null,null,5,4,23,6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trifolium,1,,,,2018-07-16T19:05:45.865Z,Bisbis,4,12,40,null,flowering,null,null,5,4,17,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Poa sp,1,,,,2018-07-16T19:09:04.450Z,Bisbis,5,10,3,null,flowering,null,null,2,2,14,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bistorta bistertoids,1,,,,2018-07-16T19:12:53.237Z,Bisbis,6,45,37,null,flowering,null,null,5,3,14,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unk forb,1,,,,2018-07-16T19:18:00.362Z,Bisbis,7,10,7,null,flowering,null,null,5,3,11,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown forb,1,,,,2018-07-16T20:56:01.087Z,Bisbis,8,1,4,null,flowering,null,null,4,3,8,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Astragalus sp,1,,,,2018-07-16T21:01:23.216Z,Bisbis,9,10,18,null,flowering,null,null,6,3,17,4,
,,,,,,,,,,,,,,,,,null,null,0,3,2,2,1,0,0,5,0,7,0,4,0,12,0,46.9,null,Carex sp 2,4,,,,2018-07-16T21:05:58.741Z,Bisbis,10,45,8,null,flowering,null,null,3,2,11,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carex sp 1,2,,,,2018-07-16T21:09:48.681Z,Potentilla diversifolia,1,24,24,null,flowering,null,null,11,9,16,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Poa sp,2,,,,2018-07-16T21:26:01.966Z,Potdiv,2,2,49,null,flowering,null,null,29,20,16,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geum,2,,,,2018-07-16T21:26:53.705Z,Potdiv,3,0,35,null,flowering,null,null,5,5,11,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trifolium,1,,,,2018-07-16T21:35:44.466Z,Potdiv,4,38,11,null,flowering,null,null,22,14,18,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Potentilla diversifolia,1,,,,2018-07-16T21:42:09.148Z,Potduv,5,50,15,null,flowering,null,null,13,10,10,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stellaria,1,,,,2018-07-16T21:48:42.572Z,Potdiv,6,28,31,null,flowering,null,null,9,7,10,5,
,,,,,,,,,,,,,,,,,null,null,0,0,4,1,2,4,0,15,4,15,4,12,4,15,4,45,null,Rumex cf,1,,,,2018-07-16T21:54:10.378Z,Potdiv,7,13,21,null,flowering,null,null,8,4,12,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saxifrage 2,1,,,,2018-07-16T21:58:00.759Z,Potdiv,8,4,21,null,flowering,null,null,11,7,20,8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geum,2,,,,2018-07-16T22:03:40.581Z,Potdiv,9,11,14,null,flowering,null,null,12,6,12,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Senecio sp,2,,,,2018-07-16T22:08:16.750Z,Potdiv,10,24,11,null,flowering,null,null,21,15,15,6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Poa,1,,,,2018-07-16T22:12:30.543Z,Salix reticulata 4_1_4,1,50,18,null,flowering,null,null,null,null,4,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carex 1,1,,,,2018-07-17T14:47:57.804Z,Sallix ret,2,38,2,null,flowering,null,null,65,60,5,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carex 3,1,,,,2018-07-17T14:53:56.197Z,Salix ret,3,46,42,null,flowering,null,null,140,130,5,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salix 2,6,,,,2018-07-17T14:59:47.986Z,Salix ret,4,24,42,null,flowering,null,null,null,null,5,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Porentilla diversifolia,1,,,,2018-07-17T15:03:02.572Z,Salaix ret,5,50,1,null,flowering,null,null,null,null,5,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sedum,1,,,,2018-07-17T15:09:24.806Z,Aalix ret,6,14,50,null,flowering,null,null,320,61,5,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unk forb prev mentioned,1,,,,2018-07-17T15:14:39.190Z,Salix ret,7,27,35,null,flowering,null,null,null,null,4,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trifoliim,1,,,,2018-07-17T15:23:23.288Z,Salix ret,8,32,38,null,flowering,null,null,34,29,4,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-17T16:02:56.405Z,Salix ret,9,26,5,null,flowering,null,null,null,null,4,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-17T16:06:37.909Z,Salix rwr,10,2,7,null,flowering,null,null,null,null,5,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-17T16:13:23.266Z,Small white thing,1,25,43,null,flowering,null,null,9,9,4,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-17T16:29:27.387Z,Small white,2,38,45,null,flowering,null,null,10,7,4,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-17T16:31:59.086Z,Small white,3,6,2,null,flowering,null,null,22,15,4,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-17T16:36:24.608Z,Small white,4,0,10,null,flowering,null,null,11,11,4,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-17T16:43:10.640Z,Small white,5,3,2,null,flowering,null,null,16,13,4,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-17T16:49:06.169Z,Small white,6,31,38,null,flowering,null,null,18,15,3,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-17T16:53:22.280Z,Small white,7,31,42,null,flowering,null,null,6,5,4,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-17T16:56:06.703Z,Small white,8,25,43,null,flowering,null,null,9,9,3,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-17T16:58:50.402Z,Small white,9,22,47,null,flowering,null,null,22,14,4,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-17T17:02:02.475Z,Small white,10,47,7,null,flowering,null,null,10,10,4,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-17T17:06:34.885Z,Carex 4_1_6_1,1,26,27,null,flowering,null,null,4,5,14,8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-17T17:42:09.345Z,Cares,2,35,28,null,flowering,null,null,5,3,17,7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-17T17:48:07.019Z,Carex,3,40,26,null,flowering,null,null,6,6,22,9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-17T17:49:38.879Z,Carex,4,49,25,null,flowering,null,null,5,4,13,4,
